# format-version: 1.2	date: 07:02:2020 10:53
name	code	definition	synonyms
evidence	ECO:0000000	A type of information that is used to support an assertion.	evidence code|evidence_code
inference from background scientific knowledge	ECO:0000001	A type of curator inference where conclusions are drawn based on the background scientific knowledge of the curator.	
direct assay evidence	ECO:0000002	A type of experimental evidence resulting from the direct measurement of some aspect of a biological feature.	
reconstitution assay evidence	ECO:0000003	A type of direct assay evidence based on reconstructing a biological sample from its disassociated state to its original state.	
cell fractionation evidence	ECO:0000004	A type of fractionation evidence where sub-cellular components are separated based on their physical properties such as density in a sucrose density gradient.	cell fractionation
enzymatic activity assay evidence	ECO:0000005	A type of protein assay evidence where the catalytic activity of an enzyme is determined.	enzyme assay evidence|enzyme assays
experimental evidence	ECO:0000006	A type of evidence resulting from manipulation of variables in order to discover cause and effect.	
immunofluorescence evidence	ECO:0000007	A type of protein detection assay evidence where a fluorescently labeled antibody is used to detect the presence or localization of a biomolecule within a cell.	immunofluorescence
expression pattern evidence	ECO:0000008	A type of experimental evidence that is based on characterization of gene expression.	
transcript expression evidence	ECO:0000009	A type of expression pattern evidence where abundance of a transcript is analyzed.	transcript expression level evidence
protein expression evidence	ECO:0000010	A type of expression pattern evidence resulting from protein abundance quantification techniques.	
genetic interaction evidence	ECO:0000011	A type of experimental phenotypic evidence resulting from the effect that a given gene has on another gene or genes, and the products.	
functional complementation evidence	ECO:0000012	A type of genetic interaction evidence where a wild-type copy of the gene in question is inserted into a mutant cell to see if it restores the wild-type phenotype in the mutant background.	functional complementation
transgenic rescue experiment evidence	ECO:0000013	A type of functional complementation evidence resulting from the introduction of a transgene to prevent, or "rescue" an organism from a condition.	
mutant phenotype evidence	ECO:0000015	A type of experimental phenotypic evidence in which an observable phenotypic difference results from a change or mutation in DNA, reflecting a different form of an allele.	
loss-of-function mutant phenotype evidence	ECO:0000016	A type of mutant phenotype evidence where a phenotype is associated with altered gene product which lacks the molecular function of the wild-type gene.	
ectopic expression evidence	ECO:0000017	A type of experimental phenotypic evidence where a transgenic strain carrying the construct of a promoter cDNA fusion in which a gene of interest is driven by a defined promoter or enhancer is ectopically expressed in the defined pattern to characterize potential cellular properties and functions of a protein of interest.	analysis of overexpression/ectopic expression phenotype
anti-sense experiment evidence	ECO:0000018	A type of mutant phenotype evidence where a phenotype is observed while expressing an anti-sense version of a gene product in a wild-type (for that gene product) background.	anti-sense experiments
RNAi evidence	ECO:0000019	A type of mutant phenotype evidence where an RNA construct is introduced into a cell and the expression of the gene bearing its complementary sequence is suppressed.	RNAi experiment
protein inhibition evidence	ECO:0000020	A type of direct assay evidence based on the inhibition of the molecular function of a protein.	specific protein inhibition evidence
physical interaction evidence	ECO:0000021	A type of experimental evidence that is based on characterization of an interaction between a gene product and another molecule.	
co-purification evidence	ECO:0000022	A type of physical interaction evidence where a cellular component subunit is isolated as part of purification of its larger complex.	co-purification
affinity evidence	ECO:0000023	A type of physical interaction evidence that depends on the strength of the interaction between two entities.	ligand binding evidence
protein binding evidence	ECO:0000024	A type of affinity evidence resulting from the binding of a molecule to a protein or protein complex.	
hybrid interaction evidence	ECO:0000025	A type of affinity evidence where proteins of interest (bait and prey) are covalently linked to incomplete fragments of a third protein (reporter) and expressed in vivo, at which time interaction between bait and prey proteins brings reporter fragments in close enough proximity to allow them to reform and become a functional reporter protein.	
nucleic acid hybridization evidence	ECO:0000026	A type of experimental genomic evidence resulting from a process in which single stranded nucleic acids are allowed to interact so that complexes, or hybrids, are formed by molecules with sufficiently similar, complementary sequences.	
structural similarity evidence	ECO:0000027	A type of similarity evidence based on structural similarity of an annotated gene or gene product to another gene or group of genes.	
motif similarity evidence	ECO:0000028	A type of match to sequence model evidence that is based on the presence of a recognized domain or motif in a gene product's (usually protein) primary sequence.	recognized domains
match to InterPro member signature evidence	ECO:0000029	A type of match to sequence model evidence resulting from a positive match of a protein, or set of proteins to a predictive model (signature) in the InterPro database.	
BLAST evidence used in manual assertion	ECO:0000030	A type of BLAST evidence that is used in a manual assertion.	curated BLAST analysis
protein BLAST evidence used in manual assertion	ECO:0000031	A type of protein BLAST evidence that is used in a manual assertion.	curated protein BLAST analysis
nucleotide BLAST evidence used in manual assertion	ECO:0000032	A type of nucleotide BLAST evidence that is used in a manual assertion.	curated nucleic acid BLAST analysis
author statement supported by traceable reference	ECO:0000033	A type of author statement in which the author makes a statement that is not supported by information in that particular publication, but rather can be traced to a reference cited by that publication.	traceable author statement
author statement without traceable support	ECO:0000034	A type of author statement that is not associated with results presented or a cited reference.	non-traceable author statement
no biological data found	ECO:0000035	A curator inference that results from research where no information about a biological feature was found in the scientific literature, at biological databases, or within other resources.	
not_recorded	ECO:0000037		
transient rescue experiment evidence	ECO:0000038	A type of functional complementation evidence resulting from the introduction of nucleic acids, which are not permanently incorporated into the genome, to temporarily prevent, or "rescue" an organism from a condition.	
protein assay evidence	ECO:0000039	A type of direct assay evidence resulting from determining the presence, abundance, structure, function, or activity of proteins.	
immunological assay evidence	ECO:0000040	A type of affinity evidence resulting from quantitation of the analyte which depends on the reaction of an antigen (analyte) and an antibody.	
similarity evidence	ECO:0000041	A type of evidence resulting from comparing likeness of distinct biological entities.	inferred from similarity|IS
gain-of-function mutant phenotypic evidence	ECO:0000042	A type of mutant phenotype evidence resulting from an altered gene product which possesses a new molecular function or a new pattern of gene expression.	gain-of-function mutant phenotype evidence
sequence similarity evidence	ECO:0000044	A type of similarity based on biomolecular sequence.	
spatial pattern of protein expression evidence	ECO:0000045	A type of protein expression evidence that accounts for the position of RNA translation to a protein product ranging in scale from differing tissues to regions of an anatomical structure.	
protein expression level evidence	ECO:0000046	A type of protein expression evidence resulting from the quantification of protein production in a sample.	
spatial pattern of transcript expression evidence	ECO:0000047	A type of transcript expression evidence that accounts for the position of transcription ranging in scale from the position of genes on the chromosome to differing tissues to regions of an anatomical structure.	
reporter gene assay evidence	ECO:0000049	A type of expression pattern evidence that is based on the expression pattern of a reporter gene.	expression of a reporter gene
voucher specimen phenotypic analysis evidence	ECO:0000050	A type of experimental phenotypic evidence based on an authors phenotypic description of a species (or higher-level group), which explicitly references an observation made of a voucher specimen (a specimen with a permanent museum catalog).	IVS|voucher specimen analysis evidence
genetic similarity evidence	ECO:0000051	A type of similarity based on genotype without respect to expression.	IGTS|inferred from genetic similarity
suppressor/enhancer interaction phenotypic evidence	ECO:0000052	A type of genetic interaction evidence resulting from a second mutation that either suppresses or enhances the phenotype expressed from an original mutation.	'traditional' genetic interactions (e.g. suppressors, synthetic lethals)|suppressor/enhancer interaction evidence
automatically integrated combinatorial evidence used in automatic assertion	ECO:0000053	A type of automatically integrated combinatorial evidence that is used in an automatic assertion.	
double mutant phenotypic evidence	ECO:0000054	A type of mutant phenotype evidence resulting from an experiment typically constructed to determine if two different genes have an observable genetic interaction (functional connection) as the result of a mutation occurring in the alleles of the two genes of interest.	double mutant analysis|double mutant phenotype evidence
array experiment evidence	ECO:0000055		
epistatic interaction phenotypic evidence	ECO:0000056	A type of genetic interaction evidence resulting from the suppression of one allelic effect by an allele at another genetic locus.	epistatic interaction evidence|epistatic interactions
phenotypic similarity evidence	ECO:0000057	A type of similarity based on the expression of a genotype in an environment.	inferred from phenotypic similarity|IPTS|phenotype similarity evidence
expression microarray evidence	ECO:0000058	A type of transcript expression evidence resulting from simultaneous profiling of the expression levels of thousands of genes in a single experiment allowing analysis of genes and their networks.	differential gene expression evidence from microarray experiment
experimental phenotypic evidence	ECO:0000059	A type of experimental evidence that is based on an observable characteristic trait, which is the result of the expression of an organisms genotype in an environment.	inferred from phenotype
positional similarity evidence	ECO:0000060	A type of phenotypic similarity evidence based on the similarity of stucture locations or arrangements.	IPS
quantitative trait analysis evidence	ECO:0000061	A type of phenotypic evidence that is based on a gene product that is associated with a quantitative trait locus, but has not been cloned.	QTL analysis evidence|quantitative trait analysis
cRNA to DNA expression microarray evidence	ECO:0000062	A type of expression microarray evidence where expression level is quantified by sample biotin-labeled cRNA (transcribed from an unknown RNA sample) hybridized to DNA oligonuclotides immoblized on a solid surface.	genomic microarray evidence
compositional similarity evidence	ECO:0000063	A type of phenotypic similarity evidence based on the similarity of the histological makeup of structures.	ICS
functional complementation in heterologous system evidence	ECO:0000064	A type of functional complementation evidence that is based on the insertion of a wild-type copy of a gene into a heterologous organism, with the mutation occurring in a homologous gene.	functional complementation in heterologous system
yeast one-hybrid evidence	ECO:0000066	A type of hybrid interaction evidence that is based on a protein-DNA complementation assay where a single promoter acts as bait and is screened against a library of prey transcription factors.	yeast one-hybrid assay
developmental similarity evidence	ECO:0000067	A type of phenotypic similarity evidence based on the similarity of embryological or post-embryonic orgin of structures.	IDS
yeast 2-hybrid evidence	ECO:0000068	A type of hybrid interaction evidence that is based on detection of protein-protein interaction by activation of a yeast reporter gene after a bait protein fused to a DNA-binding domain (which has been transfected into a yeast cell) is used to screen a cDNA library of clones fused to an activation domain.	yeast two-hybrid assay
differential methylation hybridization evidence	ECO:0000069	A type of in vitro methylation assay evidence where methylation-sensitive restriction enzymes are utilized to compare differential methylation between two samples by first shearing DNA, followed by end-blunting, ligation of linkers, methylation sensitive restriction, PCR using linker primers, dye labeling and relative quantification of methylated DNA fragments by two-colored array hybridization to a CpG island microarray for visual assessment.	CpG island microarray evidence
co-immunoprecipitation evidence	ECO:0000070	A type of immunoprecipitation evidence that involves precipitating two or more proteins via binding to an antibody specific to a single protein, followed by protein identification.	co-immunoprecipitation
morphological similarity evidence	ECO:0000071	A type of phenotypic similarity evidence based on the similarity of shape, structure, or configuration in structures.	IMS
Sos-recruitment assay evidence	ECO:0000072		
experimental genomic evidence	ECO:0000073	A type of experimental evidence that is based on the characterization of an attribute of the genome underlying a gene product.	inferred from genomic analysis
split-ubiquitin assay evidence	ECO:0000074	A type of physical interaction evidence that is based on detection of protein-protein interaction between a bait and prey protein by in vivo reconstitution of split-ubiquitin (when bait and prey interact) and release of a reporter protein.	split-ubiquitin assay
gene expression similarity evidence	ECO:0000075	A type of phenotypic similarity evidence that is based on the categorization of genes by the similarity of expression profiles.	IGES
far-Western blotting evidence	ECO:0000076	A type of physical interaction evidence that is based on detection of protein-protein interactions by separation of target proteins by SDS-PAGE which are blotted to a membrane, followed by denaturation and renaturation, probing with purified bait proteins, and detection of the target-bait complexes.	far-Western analysis
methylation-specific polymerase chain reaction evidence	ECO:0000077	A type of in vitro methylation assay evidence resulting from initial modification of DNA by sodium bisulfite, converting all unmethylated cytosines to uracil, and subsequent amplification with primers specific for methylated versus unmethylated DNA.	methylation-specific PCR evidence|MS-PCR|MSP
southern hybridization evidence	ECO:0000078	A type of DNA detection assay evidence that is based on detection of a specific DNA sequence by hybridization of labeled probes to any immobilized DNA fragment with sequence similarity.	Southern blot|Southern blotting
affinity chromatography evidence	ECO:0000079	A type of affinity evidence that results from separation of biochemical mixtures by selective binding of a compound to an immobilized compound on a polymeric matrix, subsequent removal of unattached components, and then displacement of the bound compound.	affinity chromatography
phylogenetic evidence	ECO:0000080	A type of similarity that indicates common ancestry.	IP
targeting sequence prediction evidence	ECO:0000081	A type of motif similarity evidence that is based on detection of a targeting sequence in the primary sequence of a protein through computational prediction and/or a manual examination of the sequence.	targeting sequence prediction
polymerase chain reaction evidence	ECO:0000082	A type of experimental genomic evidence where DNA polymerase is used to synthesize new strand of DNA complementary to the offered template strand.	PCR evidence
transmembrane domain prediction evidence	ECO:0000083	A type of motif similarity evidence that is based on detection of one, or more, transmembrane domains in the primary sequence of a protein through computational prediction and/or a manual examination of the sequence.	transmembrane domain prediction
