template_name	template_description	template_tier	column_name	subject	evidence	role	description	mime_type	numeric_units	url_template	refers_to
broad_compound_sensitivity_enrichment	Broad enrichment analysis description.	1	cell_line_subset		label	context	measurements from a subset of cell lines (by lineage) used in enrichment calculation				*
broad_compound_sensitivity_enrichment	Broad enrichment analysis description.	1	cell_line_exclusion		label	context	measurements from a subset of cell lines that were excluded from enrichment				*
broad_compound_sensitivity_enrichment	Broad enrichment analysis description.	1	feature_data_set		label	context	dataset from which genetic feature was obtained				*
broad_compound_sensitivity_enrichment	Broad enrichment analysis description.	1	compound_name	compound		perturbagen	name of compound				*
broad_compound_sensitivity_enrichment	Broad enrichment analysis description.	1	entrez_gene_id	gene		enriched feature	gene that correlates to enrichment_direction				*
broad_compound_sensitivity_enrichment	Broad enrichment analysis description.	1	cell_lineage	lineage		enriched feature	lineage that correlates to enrichment_direction				*
broad_compound_sensitivity_enrichment	Broad enrichment analysis description.	1	number_of_cell_lines		numeric	computed	number of cell lines with genetic information for specific enrichment				*
broad_compound_sensitivity_enrichment	Broad enrichment analysis description.	1	number_of_mutant_cell_lines		numeric	computed	number of cell lines with alterations in this Enriched_Feature				*
broad_compound_sensitivity_enrichment	Broad enrichment analysis description.	1	enrichment_direction		label	computed	either sensitive or resistant				*
broad_compound_sensitivity_enrichment	Broad enrichment analysis description.	1	log_fdr		numeric	computed	signed negative log (base 10) of false-discovery rate (FDR) q-value used to correct for multiple hypotheses				*
broad_compound_sensitivity_enrichment	Broad enrichment analysis description.	1	response_image_path		file	computed	file path for compound response heatmap image	image/png			*
broad_compound_sensitivity_enrichment	Broad enrichment analysis description.	1	feature_image_path		file	computed	file path for genomic feature heatmap image	image/png			*
broad_compound_sensitivity_enrichment	Broad enrichment analysis description.	1	nci_portal		url	measured	URL to NCI portal location for source data			http://ctd2.nci.nih.gov/DataMatrix/	*
broad_compound_sensitivity_enrichment	Broad enrichment analysis description.	1	gct_path		file	measured	"file path (in the near future, this will be a URL from the portal) for data in GCT format for visualization using other applications"	text/plain			*
columbia_all_mr_tf_or_sig_analysis	All Identified GC-Responsible Master Regulators (TF or Signaling).	1	affy_probeset_id		label	context	Affymetrix probeset id				*
columbia_all_mr_tf_or_sig_analysis	All Identified GC-Responsible Master Regulators (TF or Signaling).	1	entrez_gene_id	gene		enriched regulon	regulon of gene is enriched in signature of glucocorticoid-resistant vs glucocorticoid-sensitive T-cells				*
columbia_all_mr_tf_or_sig_analysis	All Identified GC-Responsible Master Regulators (TF or Signaling).	1	cell_lineage_tissue	cell_lineage		context	Tissue from which blood samples obtained				*
columbia_all_mr_tf_or_sig_analysis	All Identified GC-Responsible Master Regulators (TF or Signaling).	1	cell_lineage_blood_type	cell_lineage		context	Blood cell type 				*
columbia_all_mr_tf_or_sig_analysis	All Identified GC-Responsible Master Regulators (TF or Signaling).	1	log2_fold_change		numeric	computed					*
columbia_all_mr_tf_or_sig_analysis	All Identified GC-Responsible Master Regulators (TF or Signaling).	1	avg_expr		numeric	computed					*
columbia_all_mr_tf_or_sig_analysis	All Identified GC-Responsible Master Regulators (TF or Signaling).	1	z_score		numeric	computed					*
columbia_all_mr_tf_or_sig_analysis	All Identified GC-Responsible Master Regulators (TF or Signaling).	1	p_value		numeric	computed					*
columbia_all_mr_tf_or_sig_analysis	All Identified GC-Responsible Master Regulators (TF or Signaling).	1	adj_p_value		numeric	computed					*
columbia_all_mr_tf_or_sig_analysis	All Identified GC-Responsible Master Regulators (TF or Signaling).	1	func_type		label	context	"Functional type of gene product, either transcription factor or signalling molecule"				*
columbia_all_mr_tf_or_sig_analysis	All Identified GC-Responsible Master Regulators (TF or Signaling).	1	set_size		numeric	computed	Number of targets in gene's regulon (from ARACNe network)				*
columbia_all_mr_tf_or_sig_analysis	All Identified GC-Responsible Master Regulators (TF or Signaling).	1	gsea_enrich_score		numeric	computed	maxmean statistic restandarized over all genes in the reference list				*
columbia_all_mr_tf_or_sig_analysis	All Identified GC-Responsible Master Regulators (TF or Signaling).	1	gsea_p_value		numeric	computed					*
columbia_all_mr_tf_or_sig_analysis	All Identified GC-Responsible Master Regulators (TF or Signaling).	1	gsea_fdr		numeric	computed	Benjamini-Hochberg FDR method				*
columbia_all_diff_repr_analysis	All shRNA differential representation.	1	entrez_gene_id	gene		differential representation	genes with altered representation  in pooled shRNA experiment				*
columbia_all_diff_repr_analysis	All shRNA differential representation.	1	num_probes		numeric	computed	number of shRNA probes tested against gene				*
columbia_all_diff_repr_analysis	All shRNA differential representation.	1	cell_lineage	cell_lineage		context	cell line type				*
columbia_all_diff_repr_analysis	All shRNA differential representation.	1	cell_line_a	cell_line		context	T-cell line				*
columbia_all_diff_repr_analysis	All shRNA differential representation.	1	log2_fold_change_a		numeric	computed					*
columbia_all_diff_repr_analysis	All shRNA differential representation.	1	avg_rep_a		numeric	computed					*
columbia_all_diff_repr_analysis	All shRNA differential representation.	1	z_score_a		numeric	computed					*
columbia_all_diff_repr_analysis	All shRNA differential representation.	1	p_value_a		numeric	computed					*
columbia_all_diff_repr_analysis	All shRNA differential representation.	1	cell_line_b	cell_line		context	T-cell line				*
columbia_all_diff_repr_analysis	All shRNA differential representation.	1	log2_fold_change_b		numeric	computed					*
columbia_all_diff_repr_analysis	All shRNA differential representation.	1	avg_rep_b		numeric	computed					*
columbia_all_diff_repr_analysis	All shRNA differential representation.	1	z_score_b		numeric	computed					*
columbia_all_diff_repr_analysis	All shRNA differential representation.	1	p_value_b		numeric	computed					*
columbia_t-all_joint_mr_shrna_diff_rep	Integrated master regulator and shRNA knockdown screen for regulatory genes responsible for glucocorticoid resistance in T-cell acute lymphoblastic leukemia (T-ALL).  Listed regulatory genes showed both significant differential activity on their targets and significant shRNA knockdown differential representation in at least one of two tested cell lines.	2	probeset_id		label	context	Affymetrix probeset id				
columbia_t-all_joint_mr_shrna_diff_rep	Integrated master regulator and shRNA knockdown screen for regulatory genes responsible for glucocorticoid resistance in T-cell acute lymphoblastic leukemia (T-ALL).  Listed regulatory genes showed both significant differential activity on their targets and significant shRNA knockdown differential representation in at least one of two tested cell lines.	2	disease_condition		label	context	Condition/Disease investigated				
columbia_t-all_joint_mr_shrna_diff_rep	Integrated master regulator and shRNA knockdown screen for regulatory genes responsible for glucocorticoid resistance in T-cell acute lymphoblastic leukemia (T-ALL).  Listed regulatory genes showed both significant differential activity on their targets and significant shRNA knockdown differential representation in at least one of two tested cell lines.	2	gene_symbol	gene		enriched feature	Gene symbol				
columbia_t-all_joint_mr_shrna_diff_rep	Integrated master regulator and shRNA knockdown screen for regulatory genes responsible for glucocorticoid resistance in T-cell acute lymphoblastic leukemia (T-ALL).  Listed regulatory genes showed both significant differential activity on their targets and significant shRNA knockdown differential representation in at least one of two tested cell lines.	2	entrez_gene_id	gene		enriched feature	Entrez Gene ID				
columbia_t-all_joint_mr_shrna_diff_rep	Integrated master regulator and shRNA knockdown screen for regulatory genes responsible for glucocorticoid resistance in T-cell acute lymphoblastic leukemia (T-ALL).  Listed regulatory genes showed both significant differential activity on their targets and significant shRNA knockdown differential representation in at least one of two tested cell lines.	2	func_type		label	context	Gene functional type				
columbia_t-all_joint_mr_shrna_diff_rep	Integrated master regulator and shRNA knockdown screen for regulatory genes responsible for glucocorticoid resistance in T-cell acute lymphoblastic leukemia (T-ALL).  Listed regulatory genes showed both significant differential activity on their targets and significant shRNA knockdown differential representation in at least one of two tested cell lines.	2	mr_regulon_set_size		numeric	computed	Regulon size for each Master Regulator of T-ALL glucocorticoid resistance				
